timestamp,user_id,event_type,trace_id,details
1773213305.5382397,User-001,started,trace_0109,"601 requests, 47,714 initial tokens"
1773213305.5886357,User-002,started,trace_0466,"14 requests, 104,290 initial tokens"
1773213305.638789,User-003,started,trace_0485,"137 requests, 69,944 initial tokens"
1773213305.688934,User-004,started,trace_0392,"21 requests, 12,073 initial tokens"
1773213305.739063,User-005,started,trace_0009,"33 requests, 43,698 initial tokens"
1773213305.7891922,User-006,started,trace_0288,"116 requests, 24,567 initial tokens"
1773213305.8393183,User-007,started,trace_0504,"69 requests, 124,901 initial tokens"
1773213305.8894455,User-008,started,trace_0589,"54 requests, 12,249 initial tokens"
1773213305.9395692,User-009,started,trace_0172,"466 requests, 89,509 initial tokens"
1773213305.9897182,User-010,started,trace_0242,"48 requests, 15,422 initial tokens"
1773213306.0398362,User-011,started,trace_0441,"26 requests, 71,284 initial tokens"
1773213306.089983,User-012,started,trace_0043,"157 requests, 18,768 initial tokens"
1773213306.140134,User-013,started,trace_0220,"382 requests, 19,105 initial tokens"
1773213306.19026,User-014,started,trace_0561,"89 requests, 40,023 initial tokens"
1773213306.2403796,User-015,started,trace_0180,"209 requests, 20,698 initial tokens"
1773213306.2905023,User-016,started,trace_0108,"136 requests, 47,006 initial tokens"
1773213306.3406172,User-017,started,trace_0046,"442 requests, 11,578 initial tokens"
1773213306.3907363,User-018,started,trace_0042,"12 requests, 132,684 initial tokens"
1773213306.440869,User-019,started,trace_0387,"44 requests, 28,379 initial tokens"
1773213306.4909866,User-020,started,trace_0116,"430 requests, 18,847 initial tokens"
1773213395.6056528,User-021,started,trace_0010,"33 requests, 43,698 initial tokens"
1773213395.6558561,User-022,started,trace_0205,"826 requests, 21,879 initial tokens"
1773213395.7073786,User-023,started,trace_0488,"111 requests, 12,462 initial tokens"
1773213395.7575948,User-024,started,trace_0434,"23 requests, 12,351 initial tokens"
1773213425.6107357,User-025,started,trace_0430,"21 requests, 8,991 initial tokens"
1773213425.6611466,User-026,started,trace_0101,"179 requests, 19,700 initial tokens"
1773213425.7115278,User-027,started,trace_0062,"249 requests, 20,747 initial tokens"
1773213425.762335,User-028,started,trace_0209,"150 requests, 18,388 initial tokens"
1773213425.812775,User-029,started,trace_0195,"124 requests, 18,147 initial tokens"
1773213455.625436,User-030,started,trace_0577,"155 requests, 44,277 initial tokens"
1773213455.6765487,User-031,started,trace_0538,"12 requests, 12,200 initial tokens"
1773213455.7272859,User-032,started,trace_0479,"84 requests, 29,130 initial tokens"
1773213485.6399498,User-033,started,trace_0245,"36 requests, 19,556 initial tokens"
1773213485.6901197,User-034,started,trace_0570,"114 requests, 9,565 initial tokens"
1773213485.740265,User-035,started,trace_0290,"286 requests, 20,025 initial tokens"
1773213485.7904134,User-036,started,trace_0344,"309 requests, 25,935 initial tokens"
1773213485.841145,User-037,started,trace_0024,"26 requests, 20,387 initial tokens"
1773213515.6341863,User-038,started,trace_0354,"95 requests, 20,139 initial tokens"
1773213515.684345,User-039,started,trace_0207,"52 requests, 8,868 initial tokens"
1773213515.7344797,User-040,started,trace_0550,"21 requests, 8,979 initial tokens"
1773213515.784605,User-041,started,trace_0190,"129 requests, 18,480 initial tokens"
1773213515.8369608,User-042,started,trace_0015,"21 requests, 27,518 initial tokens"
1773213515.88719,User-043,started,trace_0139,"44 requests, 14,487 initial tokens"
1773213545.5585153,User-044,started,trace_0487,"41 requests, 12,303 initial tokens"
1773213545.6088927,User-045,started,trace_0627,"39 requests, 12,249 initial tokens"
1773213545.659371,User-046,started,trace_0214,"457 requests, 19,540 initial tokens"
1773213545.7101321,User-047,started,trace_0005,"382 requests, 19,105 initial tokens"
1773213545.7605658,User-048,started,trace_0079,"813 requests, 16,564 initial tokens"
1773213569.9993608,User-039,truncated,trace_0207,"4/52 requests, 74.3% cache hit"
1773213569.999556,User-049,started,trace_0565,"170 requests, 12,362 initial tokens"
1773213570.4560466,User-004,completed,trace_0392,"21/21 requests, 62.2% cache hit"
1773213570.4563415,User-050,started,trace_0106,"273 requests, 84,352 initial tokens"
1773213597.0845501,User-031,completed,trace_0538,"12/12 requests, 88.6% cache hit"
1773213597.0848708,User-051,started,trace_0336,"250 requests, 21,204 initial tokens"
1773213605.56965,User-052,started,trace_0302,"1034 requests, 17,188 initial tokens"
1773213605.6207333,User-053,started,trace_0436,"19 requests, 12,100 initial tokens"
1773213605.6718082,User-054,started,trace_0299,"204 requests, 18,414 initial tokens"
1773213605.7220044,User-055,started,trace_0124,"48 requests, 13,048 initial tokens"
1773213605.773173,User-056,started,trace_0390,"21 requests, 11,702 initial tokens"
1773213635.629953,User-057,started,trace_0168,"322 requests, 19,035 initial tokens"
1773213635.680128,User-058,started,trace_0329,"298 requests, 20,065 initial tokens"
1773213635.730866,User-059,started,trace_0522,"137 requests, 9,093 initial tokens"
1773213635.7810216,User-060,started,trace_0264,"337 requests, 21,171 initial tokens"
1773213635.8311844,User-061,started,trace_0377,"339 requests, 19,568 initial tokens"
1773213645.0859437,User-025,completed,trace_0430,"21/21 requests, 26.8% cache hit"
1773213645.0861912,User-062,started,trace_0352,"58 requests, 17,759 initial tokens"
1773213665.6298182,User-063,started,trace_0381,"980 requests, 15,829 initial tokens"
1773213665.6812973,User-064,started,trace_0423,"22 requests, 59,204 initial tokens"
1773213695.5933573,User-065,started,trace_0231,"495 requests, 18,258 initial tokens"
1773213695.6436229,User-066,started,trace_0082,"163 requests, 20,276 initial tokens"
1773213695.694121,User-067,started,trace_0110,"444 requests, 18,259 initial tokens"
1773213695.7445815,User-068,started,trace_0071,"159 requests, 19,484 initial tokens"
1773213695.7948763,User-069,started,trace_0315,"132 requests, 17,644 initial tokens"
1773213725.5756245,User-070,started,trace_0281,"167 requests, 17,888 initial tokens"
1773213725.6264362,User-071,started,trace_0625,"26 requests, 9,020 initial tokens"
1773213725.680054,User-072,started,trace_0181,"106 requests, 15,729 initial tokens"
1773213725.730249,User-073,started,trace_0003,"80 requests, 17,664 initial tokens"
1773213725.7814133,User-074,started,trace_0020,"21 requests, 20,289 initial tokens"
1773213725.8316538,User-075,started,trace_0493,"112 requests, 11,743 initial tokens"
1773213755.6028857,User-076,started,trace_0192,"301 requests, 21,599 initial tokens"
1773213755.6530533,User-077,started,trace_0597,"35 requests, 12,224 initial tokens"
1773213755.7036352,User-078,started,trace_0076,"236 requests, 17,854 initial tokens"
1773213755.7538633,User-079,started,trace_0444,"41 requests, 11,943 initial tokens"
1773213755.8040519,User-080,started,trace_0156,"219 requests, 19,424 initial tokens"
1773213755.8543355,User-081,started,trace_0486,"14 requests, 12,133 initial tokens"
1773213780.8888705,User-040,completed,trace_0550,"21/21 requests, 36.7% cache hit"
1773213780.8891635,User-082,started,trace_0121,"188 requests, 18,051 initial tokens"
1773213785.6214366,User-083,started,trace_0619,"26 requests, 79,450 initial tokens"
1773213815.577724,User-084,started,trace_0153,"96 requests, 57,510 initial tokens"
1773213815.629286,User-085,started,trace_0378,"113 requests, 18,530 initial tokens"
1773213815.680654,User-086,started,trace_0175,"472 requests, 18,279 initial tokens"
1773213845.6057827,User-087,started,trace_0218,"530 requests, 15,161 initial tokens"
1773213845.6563542,User-088,started,trace_0016,"181 requests, 64,831 initial tokens"
1773213845.7073104,User-089,started,trace_0531,"181 requests, 12,278 initial tokens"
